3922,10,1
3922,20,4
4303,10,1
768,10,3
3711,10,1
669,10,1
669,12,2
669,N53,1
211,10,2
211,Sof211,1
667,10,1
767,10,3
767,2,2
91,740,1
91,10,2
91,750,1
91,720,3
91,730,2
7111,10,1
3415,10,1
3412,10,2
653,10,3
653,12,2
653,20,1
653,Sof653,3
653,N51,1
3411,10,2
8544,10,1
5333,10,1
2544,10,2
5522,10,1
25,10,2
25,20,4
25,58,5
25,25,2
25,30,4
25,50,4
25,40,4
25,60,2
25,70,1
25,N4,2
92,10,1
92,2,2
92,720,2
92,730,2
20,11,1
20,10,1
20,13,1
20,12,1
20,15,1
20,14,1
20,17,1
20,16,1
20,19,1
20,18,1
20,Sof20,3
20,5,1
20,7,1
20,6,1
20,9,1
20,8,1
7276,10,1
406,10,2
406,N34,5
406,20,4
5504,10,1
541,10,2
7513,10,1
4,150,3
4,152,3
4,210,5
4,158,2
4,310,3
4,190,4
4,218,5
4,60,3
4,61,3
4,62,4
4,130,1
4,274,4
4,110,1
4,80,3
4,138,1
4,230,1
4,N2,2
4,170,4
4,20,4
4,22,5
4,40,4
4,180,4
4,280,4
4,250,3
4,282,5
4,272,3
4,200,4
4,140,1
4,300,2
4,302,2
4,120,1
4,260,5
4,240,3
4,70,3
4,90,1
4,100,1
4,160,1
4,220,4
4,10,2
4,54,4
4,270,3
4,30,5
4,50,4
4,290,4
3975,10,1
8655,10,1
8900,10,1
8900,20,2
8900,N82,1
8911,10,1
3835,10,2
4111,10,2
5720,10,1
5720,20,2
717,N56,2
717,N57,2
717,20,1
675,Sof675,4
675,10,3
5923,10,1
2211,10,1
672,10,2
672,20,2
672,N54,4
672,30,2
672,28,1
672,35,4
7955,10,1
3403,10,2
9888,10,1
716,10,2
716,5,2
264,10,2
5511,10,1
6714,10,1
7589,10,1
4233,10,1
4233,20,1
2499,10,2
4101,10,2
55,10,1
55,30,1
55,5,1
55,20,3
5613,10,1
5613,18,1
57,10,1
57,30,1
57,20,1
57,40,4
57,38,3
5611,10,2
4103,10,2
2310,10,2
2310,N69,3
8966,N84,1
8966,12,3
415,10,2
7223,Sof7223,1
6535,10,1
410,10,1
410,Sof410,4
411,N35,1
411,18,1
412,10,1
412,20,1
412,25,1
412,30,1
412,50,4
412,40,1
412,60,1
412,68,4
412,15,1
412,Sof412,3
4304,10,1
9779,10,1
9779,2,1
8677,10,1
375,10,2
375,12,2
293,10,2
6533,10,1
989,710,2
9098,710,1
310,10,2
700,10,4
316,10,1
89,Sof89,3
89,10,1
89,20,4
89,30,3
89,28,5
89,50,3
89,40,1
89,60,3
396,10,2
395,10,2
395,30,2
395,20,2
7912,10,1
4404,10,1
80,10,2
80,N21,2
5710,10,2
5710,20,2
87,740,2
87,10,3
87,750,2
87,720,2
87,730,2
85,10,4
85,20,4
85,30,1
85,28,3
85,40,1
85,2,4
8510,10,1
8510,30,1
8510,20,1
762,10,3
2410,10,2
4123,10,1
6511,10,1
6513,10,1
6666,10,1
6666,Sof6666,1
6667,10,1
6667,N76,3
5503,10,1
3,10,2
3,40,4
3,Sof3,1
918,28,3
918,30,4
918,20,1
918,10,1
7,10,4
8077,10,1
367,10,1
6953,10,1
7213,10,5
425,10,1
425,18,1
424,10,1
424,2,2
2414,10,2
977,10,2
531,30,1
2444,10,2
581,10,1
581,20,3
581,N50,2
443,10,1
443,20,1
443,Sof443,1
443,30,2
443,40,4
443,5,1
3199,10,2
441,10,2
2932,10,1
3955,10,1
3955,Sof3955,2
444,10,1
444,26,1
444,20,3
444,22,1
444,32,3
444,44,2
444,30,3
444,N45,1
444,N44,1
444,40,1
444,34,3
444,42,1
4622,10,1
4622,20,2
383,10,2
241,10,1
241,2,1
241,20,4
241,Sof241,2
386,9,2
386,10,1
386,20,2
242,N30,2
242,10,2
3553,10,1
8556,10,1
6678,10,1
4623,10,1
784,10,2
784,2,3
784,20,3
784,4,3
38,10,2
38,30,1
38,20,2
38,40,1
38,28,1
780,10,2
780,Sof780,4
781,10,2
781,30,2
781,20,2
781,40,3
781,N60,2
3500,10,3
6502,10,1
31,10,3
31,30,1
31,20,4
31,N5,4
31,40,1
8533,10,3
789,710,1
35,10,4
35,20,5
35,32,4
35,30,5
35,50,1
35,40,2
34,10,4
34,20,4
7110,10,1
9778,10,1
8721,10,1
434,10,1
434,Sof434,1
7688,Sof7688,1
431,10,4
431,20,4
431,49,3
431,46,3
431,30,3
431,43,3
431,40,3
431,N39,2
431,6,4
3613,10,2
generic,generic,3
334,10,2
334,N32,2
453,10,1
5614,10,1
574,N49,1
574,10,3
574,2,1
574,20,3
60,N12,1
