3922,10,0.260439
3922,20,0.381117
4303,10,0.23855
768,10,0.321889
3711,10,0.260457
669,10,0.268276
669,12,0.291382
669,N53,0.259509
211,10,0.279454
211,Sof211,0.241483
667,10,0.256676
767,10,0.307768
767,2,0.274142
91,740,0.262457
91,10,0.2905
91,750,0.259982
91,720,0.3388
91,730,0.288359
7111,10,0.255941
3415,10,0.259447
3412,10,0.288251
653,10,0.306996
653,12,0.279924
653,20,0.25698
653,Sof653,0.338478
653,N51,0.270261
3411,10,0.288257
8544,10,0.2677
5333,10,0.27018
2544,10,0.27688
5522,10,0.267617
25,10,0.295467
25,20,0.528588
25,58,0.593116
25,25,0.301776
25,30,0.474328
25,50,0.501055
25,40,0.501112
25,60,0.27873
25,70,0.253634
25,N4,0.270829
92,10,0.269941
92,2,0.280577
92,720,0.283312
92,730,0.290677
20,11,0.218055
20,10,0.234284
20,13,0.21461
20,12,0.246806
20,15,0.240951
20,14,0.245694
20,17,0.242409
20,16,0.214711
20,19,0.243733
20,18,0.206994
20,Sof20,0.312169
20,5,0.227807
20,7,0.234356
20,6,0.249675
20,9,0.233226
20,8,0.228418
7276,10,0.25294
406,10,0.303079
406,N34,0.619936
406,20,0.426672
5504,10,0.257638
541,10,0.27208
7513,10,0.260294
4,150,0.372801
4,152,0.337851
4,210,0.61156
4,158,0.288013
4,310,0.30838
4,190,0.499955
4,218,0.608669
4,60,0.313176
4,61,0.372302
4,62,0.385501
4,130,0.257899
4,274,0.535921
4,110,0.2202
4,80,0.314252
4,138,0.245368
4,230,0.264622
4,N2,0.285881
4,170,0.400393
4,20,0.43397
4,22,0.586054
4,40,0.506449
4,180,0.525535
4,280,0.50092
4,250,0.341663
4,282,0.592933
4,272,0.312924
4,200,0.554713
4,140,0.247019
4,300,0.290175
4,302,0.279693
4,120,0.249955
4,260,0.59103
4,240,0.333149
4,70,0.311169
4,90,0.225594
4,100,0.257345
4,160,0.262213
4,220,0.510449
4,10,0.290381
4,54,0.481359
4,270,0.313186
4,30,0.596921
4,50,0.533768
4,290,0.54194
3975,10,0.259376
8655,10,0.256668
8900,10,0.2514
8900,20,0.295587
8900,N82,0.255034
8911,10,0.255894
3835,10,0.271383
4111,10,0.273681
5720,10,0.267819
5720,20,0.294676
717,N56,0.291443
717,N57,0.274724
717,20,0.25924
675,Sof675,0.527736
675,10,0.343058
5923,10,0.252628
2211,10,0.261031
672,10,0.302374
672,20,0.283349
672,N54,0.405186
672,30,0.271161
672,28,0.257577
672,35,0.456586
7955,10,0.265763
3403,10,0.294611
9888,10,0.251619
716,10,0.292882
716,5,0.294923
264,10,0.274642
5511,10,0.267844
6714,10,0.258387
7589,10,0.261095
4233,10,0.237197
4233,20,0.267557
2499,10,0.271535
4101,10,0.286142
55,10,0.2559
55,30,0.254635
